timeStamp,baseCurrency,foreignCurrency,Open,High,Low,Close,Volume,baseCurrencyNetSentiment,foreignCurrencyNetSentiment,actualMomentum,machinePredictedMomentum
8/2/2019 17:00,USD,CHF,0.98175,0.98273,0.98142,0.98246,5952.899957,P,P,P,P
8/2/2019 18:00,USD,CHF,0.98246,0.98247,0.98176,0.98238,6298.349966,P,P,P,P
8/2/2019 19:00,USD,CHF,0.98237,0.98281,0.98208,0.98213,6709.969954,P,P,P,P
8/2/2019 20:00,USD,CHF,0.9822,0.9825,0.98212,0.98215,1311.199993,P,P,P,P
8/4/2019 21:00,USD,CHF,0.98399,0.98399,0.98234,0.98278,760.0400013,P,P,P,P
8/4/2019 22:00,USD,CHF,0.9828,0.9828,0.98211,0.98247,913.5700001,P,P,P,P
8/4/2019 23:00,USD,CHF,0.98247,0.9827,0.9822,0.98256,1220.249992,P,P,P,P
8/5/2019 0:00,USD,CHF,0.98256,0.98277,0.97973,0.98055,4720.569985,P,P,P,P
8/5/2019 1:00,USD,CHF,0.98054,0.98121,0.97881,0.98001,8301.879975,P,P,P,P
8/5/2019 2:00,USD,CHF,0.98001,0.98065,0.979,0.97907,8568.299975,P,P,P,P
8/5/2019 3:00,USD,CHF,0.97906,0.97949,0.97849,0.97922,6283.079969,P,P,P,P
8/5/2019 4:00,USD,CHF,0.9792,0.97942,0.97851,0.97923,3390.06999,P,P,P,P
8/5/2019 5:00,USD,CHF,0.97921,0.97951,0.97881,0.97912,3548.720001,P,P,P,P
8/5/2019 6:00,USD,CHF,0.97912,0.97924,0.97823,0.97877,9168.189956,P,P,P,P
8/5/2019 7:00,USD,CHF,0.97879,0.97942,0.97749,0.97806,11908.70996,P,P,P,P
8/5/2019 8:00,USD,CHF,0.97806,0.97814,0.97506,0.97516,9425.139982,P,P,P,P
8/5/2019 9:00,USD,CHF,0.97515,0.97562,0.97421,0.97504,8471.819987,P,P,P,P
8/5/2019 10:00,USD,CHF,0.97506,0.97524,0.97379,0.97444,6854.729993,P,P,P,P
8/5/2019 11:00,USD,CHF,0.97444,0.97578,0.97389,0.97446,9005.279974,P,P,P,P
8/5/2019 12:00,USD,CHF,0.97446,0.97496,0.97389,0.97487,7872.94999,P,P,P,P
8/5/2019 13:00,USD,CHF,0.97486,0.97578,0.97442,0.97555,8519.759977,P,P,P,P
8/5/2019 14:00,USD,CHF,0.97556,0.97562,0.97199,0.97374,13181.67994,P,P,P,P
8/5/2019 15:00,USD,CHF,0.97378,0.97469,0.97202,0.97206,9847.269971,P,P,P,P
8/5/2019 16:00,USD,CHF,0.97206,0.97358,0.97161,0.97197,9504.669952,P,P,P,P
8/5/2019 17:00,USD,CHF,0.97197,0.97359,0.97192,0.97359,5797.129961,P,P,P,P
8/5/2019 18:00,USD,CHF,0.9736,0.97396,0.97314,0.97359,5806.00996,P,P,P,P
8/5/2019 19:00,USD,CHF,0.97359,0.97485,0.97296,0.97398,8841.289943,P,P,P,P
8/5/2019 20:00,USD,CHF,0.97399,0.97427,0.97326,0.97337,1698.779988,P,P,P,P
8/5/2019 21:00,USD,CHF,0.97336,0.97361,0.97168,0.97183,1417.890003,P,P,P,P
8/5/2019 22:00,USD,CHF,0.97183,0.97214,0.9713,0.97155,2264.930001,P,P,P,P
8/5/2019 23:00,USD,CHF,0.97153,0.97204,0.9703,0.97053,2508.869995,P,P,P,P
8/6/2019 0:00,USD,CHF,0.97056,0.9712,0.97044,0.97095,3687.409987,P,P,P,P
8/6/2019 1:00,USD,CHF,0.97095,0.973,0.97095,0.9726,7030.070004,P,P,P,P
8/6/2019 2:00,USD,CHF,0.97261,0.97282,0.97211,0.97279,3662.760006,P,P,P,P
8/6/2019 3:00,USD,CHF,0.97279,0.974,0.97256,0.97353,3958.140011,P,P,P,P
8/6/2019 4:00,USD,CHF,0.97353,0.97561,0.97352,0.97434,7713.170015,P,P,P,P
8/6/2019 5:00,USD,CHF,0.97435,0.97546,0.97423,0.9754,5597.680026,P,P,P,P
8/6/2019 6:00,USD,CHF,0.9754,0.97575,0.97414,0.97518,11780.13999,P,P,P,P
8/6/2019 7:00,USD,CHF,0.97519,0.9758,0.97372,0.97377,11997.86996,P,P,P,P
8/6/2019 8:00,USD,CHF,0.97377,0.97527,0.97362,0.97441,8247.489974,P,P,P,P
8/6/2019 9:00,USD,CHF,0.97442,0.97467,0.97409,0.97444,5021.639974,P,P,P,P
8/6/2019 10:00,USD,CHF,0.97444,0.97501,0.97429,0.97471,3631.039972,P,P,P,P
8/6/2019 11:00,USD,CHF,0.97472,0.97624,0.97443,0.97605,6107.569964,P,P,P,P
8/6/2019 12:00,USD,CHF,0.97606,0.97686,0.97571,0.97673,6807.979955,P,P,P,P
8/6/2019 13:00,USD,CHF,0.9767,0.97915,0.97637,0.97876,8898.959975,P,P,P,P
8/6/2019 14:00,USD,CHF,0.97876,0.97921,0.9774,0.97827,9766.459968,P,P,P,P
8/6/2019 15:00,USD,CHF,0.97825,0.97836,0.97673,0.97818,8757.379958,P,P,P,P
8/6/2019 16:00,USD,CHF,0.97817,0.97835,0.9762,0.97644,6791.449951,P,P,P,P
8/6/2019 17:00,USD,CHF,0.97643,0.97717,0.97598,0.97697,5461.369962,P,P,P,P
8/6/2019 18:00,USD,CHF,0.97696,0.97785,0.97679,0.97685,6023.619958,P,P,P,P
8/6/2019 19:00,USD,CHF,0.97684,0.97775,0.97649,0.97661,5460.069972,P,P,P,P
8/6/2019 20:00,USD,CHF,0.97661,0.97675,0.97596,0.97666,1167.399998,P,P,P,P
8/6/2019 21:00,USD,CHF,0.97666,0.97712,0.97569,0.97597,2795.799988,P,P,P,P
8/6/2019 22:00,USD,CHF,0.97613,0.97624,0.97525,0.97556,713.1400004,P,P,P,P
8/6/2019 23:00,USD,CHF,0.97555,0.97607,0.97551,0.97583,1084.299991,P,P,P,P
8/7/2019 0:00,USD,CHF,0.97582,0.9761,0.97446,0.97563,3646.589974,P,P,P,P
8/7/2019 1:00,USD,CHF,0.97563,0.97641,0.97396,0.97448,5060.839969,P,P,P,P
8/7/2019 2:00,USD,CHF,0.97444,0.97573,0.97434,0.97549,4921.669985,P,P,P,P
8/7/2019 3:00,USD,CHF,0.97549,0.97657,0.97455,0.97578,5748.279971,P,P,P,P
8/7/2019 4:00,USD,CHF,0.97578,0.97611,0.97555,0.97575,3103.869991,P,P,P,P
8/7/2019 5:00,USD,CHF,0.97576,0.97704,0.97575,0.97635,4506.229979,P,P,P,P
8/7/2019 6:00,USD,CHF,0.97634,0.97682,0.97569,0.97628,4843.799983,P,P,P,P
8/7/2019 7:00,USD,CHF,0.97628,0.97822,0.97549,0.97822,6730.279979,P,P,P,P
8/7/2019 8:00,USD,CHF,0.97822,0.97829,0.97737,0.97778,5810.730003,P,P,P,P
8/7/2019 9:00,USD,CHF,0.97779,0.9794,0.97779,0.9789,7708.380005,P,P,P,P
8/7/2019 10:00,USD,CHF,0.9789,0.97969,0.9787,0.97896,4644.789982,P,P,P,P
8/7/2019 11:00,USD,CHF,0.97896,0.979,0.97567,0.97585,6620.869969,P,P,P,P
8/7/2019 12:00,USD,CHF,0.97585,0.97653,0.97429,0.97491,11919.63999,P,P,P,P
8/7/2019 13:00,USD,CHF,0.97491,0.97515,0.97115,0.97215,16794.96996,P,P,P,P
8/7/2019 14:00,USD,CHF,0.97215,0.97452,0.97131,0.97333,17751.60992,P,P,P,P
8/7/2019 15:00,USD,CHF,0.97332,0.97344,0.97032,0.9709,14328.07993,P,P,P,P
8/7/2019 16:00,USD,CHF,0.9709,0.97178,0.96918,0.97174,12933.87992,P,P,P,P
8/7/2019 17:00,USD,CHF,0.97171,0.97387,0.97124,0.9733,12807.13991,P,P,P,P
8/7/2019 18:00,USD,CHF,0.97331,0.97401,0.97261,0.97366,12471.4199,P,P,P,P
8/7/2019 19:00,USD,CHF,0.97364,0.97519,0.9731,0.97514,11247.43993,P,P,P,P
8/7/2019 20:00,USD,CHF,0.97518,0.97547,0.9748,0.97547,2158.099991,P,P,P,P
8/7/2019 21:00,USD,CHF,0.97547,0.97547,0.97451,0.97475,1413.199994,P,P,P,P
8/7/2019 22:00,USD,CHF,0.97475,0.97498,0.97457,0.97476,726.6999999,P,P,P,P
8/7/2019 23:00,USD,CHF,0.97476,0.97565,0.97457,0.97489,1712.629992,P,P,P,P
8/8/2019 0:00,USD,CHF,0.97489,0.97523,0.97417,0.97463,3016.00999,P,P,P,P
8/8/2019 1:00,USD,CHF,0.97465,0.97568,0.97431,0.97532,7526.899968,P,P,P,P
8/8/2019 2:00,USD,CHF,0.97531,0.97566,0.97468,0.97497,3016.949983,P,P,P,P
8/8/2019 3:00,USD,CHF,0.97496,0.9757,0.97488,0.97545,2425.729983,P,P,P,P
8/8/2019 4:00,USD,CHF,0.97545,0.97556,0.97521,0.97549,1621.559994,P,P,P,P
